(7574,52875)
(11512,109412)
(25080,245716)
(35278,437590)
(45535,696665)
(53024,909182)
(55517,988743)
(60332,1137334)
(61921,1226046)
(64118,1362665)
(64366,1370249)
(75933,1675021)
(79616,1882912)
(84284,2137168)
(84796,2192235)
(85981,2265598)
(87557,2338113)
(92165,2638948)
(94621,2692494)
(95941,2836548)
(98857,3045603)
(100281,3072079)
(103072,3259395)
(104609,3476311)
(105200,3507748)
(107717,3735229)
(108559,3811943)
(113662,3966519)
(118123,4352505)
(122527,4557639)
(124036,4652705)
(124478,4671096)
(125250,4751078)
(126364,4840910)
(141575,5763146)
(143716,5845179)
(144540,5852752)
(147464,6023909)
(148012,6094191)
(150072,6603832)
(150382,6634202)
(152118,6758879)
(152329,6820812)
(152839,6931427)
(153767,6973896)
(158290,7309300)
(158513,7326128)
(162717,7557193)
(175898,8104023)
(178798,8329057)
(179239,8386925)
(179539,8451392)
(179659,8491676)
(191738,9197265)
(192697,9443690)
(203834,10383888)
(208280,10648851)
(211688,11076058)
(212350,11130214)
(212462,11136728)
(212869,11216588)
(223869,11750968)
(252362,12752144)
(260665,13276186)
(262412,13349756)
(272154,14431390)
(272229,14450639)
(272485,14465730)
(273203,14493951)
(273393,14535579)
(281067,14867541)
(281594,14995703)
(283811,15165488)
(284415,15259622)
(285602,15436469)
(289218,15505236)
(289303,15510317)
(290314,15611366)
(291831,15780075)
(291919,15792996)
(292530,16011307)
(293849,16211427)
(294220,16250234)
(294541,16297996)
(295229,16378693)
(299018,16518342)
(299238,16524145)
(302649,17201272)
(306968,17366833)
(314626,17953328)
(314956,17987134)
(315411,18032938)
(330594,18782102)
(331360,18869942)
(352655,19040457)
(378473,20367761)
(379956,20481268)
(380377,20560355)
(383218,20935756)
(383681,21012549)
(389480,21104567)
(390269,21222866)
(390327,21226624)
(463469,22017654)
(463697,22073460)
(464170,22182924)
(465548,22374124)
(465848,22443072)
(466216,22480311)
(466591,22546905)
(466604,22547605)
(469471,22710315)
(470075,22793538)
(471391,23061338)
(476307,23545771)
(476739,23583332)
(485094,24153031)
(488067,24387926)
(491582,24865148)
(492565,25029423)
(493119,25117734)
(493620,25337028)
(494680,25359604)
(494688,25360754)
(495490,25500797)
(496576,25613016)
(497275,25740911)
(517553,26910780)
(517870,27045987)
(520227,27278064)
(520755,27398938)
(520767,27400424)
(534117,27628518)
(534337,27652288)
(535477,27835441)
(535498,27838773)
(535947,27944366)
