(7968,52890)
(11745,112269)
(18597,252211)
(22574,374442)
(28683,450541)
(35195,572864)
(38127,718105)
(48704,996934)
(50393,1053299)
(57007,1182230)
(60623,1390237)
(60965,1397886)
(61208,1410450)
(63071,1501570)
(69122,1845439)
(72439,2103565)
(72683,2108262)
(74355,2210881)
(77308,2511606)
(121615,3032094)
(122619,3103859)
(124215,3204405)
(128449,3386808)
(137396,3906136)
(141227,3984235)
(143895,4287342)
(146220,4359788)
(156523,4967434)
(158010,5060800)
(158404,5160527)
(160465,5366889)
(164086,5785376)
(168399,5896981)
(170929,6076522)
(173396,6290258)
(174110,6367051)
(175802,6529159)
(176909,6615321)
(178171,6757768)
(179443,6771258)
(180542,6882443)
(181940,6965329)
(183090,7014336)
(184286,7103353)
(185847,7191954)
(186058,7198620)
(186956,7250924)
(187759,7349907)
(188580,7415523)
(188658,7422002)
(189288,7501089)
(191607,7609298)
(193592,7670842)
(197324,7897734)
(197446,7906719)
(206456,8297031)
(207329,8376886)
(207470,8399125)
(208118,8501776)
(209197,8593189)
(209569,8654619)
(210897,8770250)
(211336,8805607)
(211372,8806942)
(212058,8976319)
(212294,9005181)
(213047,9110181)
(213762,9243389)
(215189,9389461)
(215370,9413579)
(220040,9568031)
(221132,9779046)
(221868,9859877)
(223877,10008021)
(224097,10031921)
(224440,10065289)
(227560,10277594)
(229751,10389457)
(230091,10478435)
(232978,10641544)
(234691,10764312)
(235147,10846857)
(236665,10965071)
(238053,11063949)
(246519,11657077)
(246851,11665235)
(247399,11791724)
(247686,11870896)
(250311,12185001)
(255456,12421546)
(256537,12621290)
(257121,12730754)
(257426,12784208)
(258577,12818815)
(262598,12952883)
(263680,13081438)
(264053,13157892)
(264822,13274019)
(265577,13331829)
(265597,13336753)
(266081,13396354)
(267167,13535578)
(267749,13564247)
(268255,13625375)
(268483,13645063)
(273477,14224718)
(274029,14311289)
(274863,14390919)
(275384,14536110)
(277070,14711060)
(277225,14720504)
(278179,14791443)
(280450,14947433)
(290010,15027737)
(290467,15054013)
(291530,15237025)
(311189,16160292)
(311454,16215981)
(312010,16267781)
(321405,16728735)
(322493,16975162)
(323944,17074009)
(324473,17135917)
(329252,17529200)
(332325,17746895)
(336446,17916466)
(336946,17996639)
(337656,18136474)
(337862,18164298)
(338487,18201373)
(338662,18257358)
(338975,18363681)
(339050,18367661)
(341936,18814840)
(342185,18871487)
(342706,19013754)
(348043,19640379)
(349841,19729693)
(350104,19867626)
(357829,20463185)
(357891,20485298)
(357932,20493630)
(364623,21575264)
(365292,21705776)
(365312,21706449)
(365603,21728153)
(366377,21862169)
(366778,21915909)
(370243,22245593)
(370620,22372461)
(371131,22521952)
(371304,22536805)
(373859,22707416)
(375519,22865084)
(376816,23140407)
(385149,23391852)
(385900,23502052)
(386818,23578922)
(387054,23628103)
(387150,23632589)
(387628,23778289)
(391777,23914593)
(392587,24045160)
(396453,24239237)
(396508,24242634)
(396544,24247822)
(396655,24264807)
(397454,24321137)
(399204,24559944)
(403524,24785144)
(404049,24831039)
(405022,24898315)
(406363,24947337)
(406767,24985472)
(406828,25025019)
(407294,25151056)
(408156,25305428)
(408670,25456954)
(410407,25663933)
(410432,25665003)
(422187,25905988)
(432490,26852397)
(433524,26868697)
(434119,26966427)
(434371,27009799)
(439221,27098464)
(439431,27170627)
(441101,27228404)
(442632,27361907)
(443402,27518174)
(444170,27581387)
(446065,27706487)
(446272,27770295)
(447104,27936208)
(447583,28039234)
(448892,28158145)
(450032,28559359)
(451122,28719258)
(451473,28830896)
(456630,28915780)
(456884,28989543)
(458487,29123393)
(459117,29184659)
(459634,29403953)
(461417,29482669)
(461737,29538946)
(461813,29547146)
(462408,29693022)
(463223,29810227)
(463948,29945912)
(466919,30050030)
(467120,30086108)
(471349,30632788)
(472948,30717019)
(473125,30746691)
(473670,30912096)
(473788,30961586)
(477888,31114516)
(478666,31279841)
(478935,31333507)
(479038,31369485)
(480482,31563002)
(480520,31569547)
(492429,32259618)
(492847,32281769)
(492959,32327956)
(503300,32985421)
(503611,33076276)
(503689,33083250)
(503877,33150714)
(504767,33210515)
(505065,33257642)
(507123,33433264)
(513026,33494065)
(513297,33594569)
(513505,33619007)
(514336,33703573)
(515380,33974121)
(515811,34124791)
(515914,34133533)
(516715,34258867)
(547694,34405935)
(548343,34508329)
(548403,34521619)
(552265,34861506)
(554689,35361661)
(555669,35598495)
(556182,35652414)
(556205,35655991)
(556367,35657842)
(556729,35755999)
(556843,35779982)
(557895,35899496)
(558087,35905596)
(558565,35963572)
(559320,36067490)
(562317,36284592)
(562565,36315546)
(564743,36558729)
(564823,36565947)
(565164,36632541)
(565794,36690220)
(569143,36768763)
(569402,36806614)
(570835,37045478)
(572074,37092329)
(589479,37274370)
(589578,37311897)
(592385,37831662)
(609913,39033461)
(612185,39233086)
(613456,39458335)
(616302,39766380)
(617921,40207559)
(622286,40430688)
(623912,40836308)
(624142,40856675)
(624478,40871150)
(625216,40995699)
(625499,41030412)
(626382,41121856)
(627269,41216001)
(627724,41304312)
(627771,41308070)
(628063,41352260)
(648853,42590043)
(655269,43096233)
(660689,43326442)
(664333,43516820)
(667091,43756100)
(667293,43798034)
(668153,43942436)
(668491,44052335)
(684602,44277150)
(685135,44417964)
(685371,44515777)
(687335,44711725)
(687834,44788592)
(689481,45004441)
(689782,45097358)
(690372,45146548)
(690555,45168548)
(691006,45246210)
(693061,45540397)
(693282,45593308)
(693740,45611685)
(694819,45813719)
(702934,45985690)
(703716,46111259)
(704162,46198091)
(704475,46234183)
(704609,46258975)
(712130,47203278)
(723758,47440203)
(724089,47561506)
(727449,48505908)
(728038,48652031)
(728302,48694577)
(732340,48796131)
(732403,48824210)
(733044,48917984)
(734206,49051877)
(734583,49161459)
(734703,49205572)
(734741,49214280)
(735494,49327601)
(738824,49377577)
(739141,49510142)
(742615,49637367)
(742625,49639836)
(744982,50421231)
(746525,50513883)
(747627,50615948)
(767179,51938509)
(769551,52081628)
(769643,52087413)
(770095,52141077)
(770282,52266619)
(770626,52382041)
(770658,52385460)
(770891,52509865)
(771221,52612537)
